file-timestamp,2023-06-15T03:19:02,,,,,,
station-id,45,,,,,,
station-name,Exe Group,,,,,,
data-type-id,spi,,,,,,
data-type-name,Standardised Precipitation Index,,,,,,
reference-period,1961-2010,,,,,,
distribution,Gamma,,,,,,
date,spi-1,spi-3,spi-6,spi-9,spi-12,spi-18,spi-24
1862-01,-0.362,NA,NA,NA,NA,NA,NA
1862-02,-1.509,NA,NA,NA,NA,NA,NA
1862-03,1.002,-0.592,NA,NA,NA,NA,NA
1862-04,0.074,-0.433,NA,NA,NA,NA,NA
1862-05,0.396,0.705,NA,NA,NA,NA,NA
1862-06,0.352,0.256,-0.436,NA,NA,NA,NA
1862-07,0.456,0.471,-0.02,NA,NA,NA,NA
1862-08,-0.841,-0.207,0.284,NA,NA,NA,NA
1862-09,-1.239,-1.33,-0.752,NA,NA,NA,NA
1862-10,1.064,-0.298,0.012,NA,NA,NA,NA
1862-11,-2.802,-0.99,-1.14,NA,NA,NA,NA
1862-12,-0.721,-0.882,-1.531,NA,-1.494,NA,NA
1863-01,0.559,-1.297,-1.194,NA,-1.039,NA,NA
1863-02,-0.781,-0.519,-1.098,NA,-0.832,NA,NA
1863-03,-0.604,-0.455,-1.021,NA,-1.297,NA,NA
1863-04,-0.135,-1.331,-1.825,NA,-1.306,NA,NA
1863-05,0.203,-0.547,-0.827,NA,-1.421,NA,NA
1863-06,1.765,1.091,0.32,NA,-0.919,-1.097,NA
1863-07,-1.01,0.783,-0.321,NA,-1.175,-1.028,NA
1863-08,0.504,0.947,0.344,NA,-0.851,-0.602,NA
1863-09,1.015,0.534,1.084,NA,-0.158,-0.508,NA
1863-10,1.379,1.685,1.854,NA,0.031,-0.001,NA
1863-11,-0.106,1.274,1.733,NA,0.577,-0.139,NA
1863-12,-0.484,0.511,0.663,NA,0.683,-0.355,-0.589
1864-01,-0.966,-1.09,0.44,NA,0.133,-0.668,-0.616
1864-02,-0.548,-1.194,0.062,NA,0.184,-0.636,-0.444
1864-03,0.516,-0.846,-0.236,NA,0.427,-0.319,-0.557
1864-04,0.042,-0.329,-1.086,NA,0.473,-0.683,-0.551
1864-05,-1.268,-0.488,-1.373,NA,0.213,-0.384,-0.803
1864-06,-0.425,-1.166,-1.653,NA,-0.484,-0.291,-1.009
1864-07,-1.351,-1.835,-1.587,NA,-0.5,-0.617,-1.244
1864-08,-1.562,-2.071,-1.851,NA,-1.027,-0.713,-1.36
1864-09,0.035,-1.817,-2.166,NA,-1.57,-0.581,-1.162
1864-10,-0.471,-1.269,-2.358,NA,-2.654,-0.663,-1.639
