file-timestamp,2023-06-15T03:19:07,,,,,,
station-id,46,,,,,,
station-name,Dart Group,,,,,,
data-type-id,spi,,,,,,
data-type-name,Standardised Precipitation Index,,,,,,
reference-period,1961-2010,,,,,,
distribution,Gamma,,,,,,
date,spi-1,spi-3,spi-6,spi-9,spi-12,spi-18,spi-24
1862-01,-0.286,NA,NA,NA,NA,NA,NA
1862-02,-1.194,NA,NA,NA,NA,NA,NA
1862-03,1.004,-0.433,NA,NA,NA,NA,NA
1862-04,-0.228,-0.432,NA,NA,NA,NA,NA
1862-05,0.315,0.584,NA,NA,NA,NA,NA
1862-06,0.267,-0.037,-0.503,NA,NA,NA,NA
1862-07,0.166,0.215,-0.26,NA,NA,NA,NA
1862-08,-1.103,-0.553,-0.015,NA,NA,NA,NA
1862-09,-1.188,-1.591,-1.117,NA,NA,NA,NA
1862-10,1.104,-0.254,-0.149,NA,NA,NA,NA
1862-11,-2.856,-0.953,-1.305,NA,NA,NA,NA
1862-12,-0.729,-0.884,-1.682,NA,-1.575,NA,NA
1863-01,0.321,-1.429,-1.337,NA,-1.281,NA,NA
1863-02,-0.725,-0.669,-1.184,NA,-1.103,NA,NA
1863-03,-0.342,-0.568,-1.116,NA,-1.636,NA,NA
1863-04,-0.052,-1.095,-1.833,NA,-1.547,NA,NA
1863-05,0.351,-0.309,-0.825,NA,-1.566,NA,NA
1863-06,1.61,1.056,0.13,NA,-1.131,-1.312,NA
1863-07,-0.834,0.802,-0.263,NA,-1.262,-1.189,NA
1863-08,0.6,0.955,0.459,NA,-0.846,-0.774,NA
1863-09,1.176,0.763,1.199,NA,-0.192,-0.693,NA
1863-10,1.233,1.63,1.812,NA,-0.117,-0.198,NA
1863-11,-0.305,1.137,1.549,NA,0.339,-0.386,NA
1863-12,-0.133,0.396,0.704,NA,0.564,-0.469,-0.748
1864-01,-0.729,-0.847,0.477,NA,0.182,-0.672,-0.733
1864-02,-0.362,-0.78,0.095,NA,0.276,-0.594,-0.542
1864-03,-0.37,-1.127,-0.508,NA,0.265,-0.502,-0.845
1864-04,-0.615,-1.147,-1.395,NA,0.164,-0.969,-0.894
1864-05,-1.044,-1.547,-1.507,NA,-0.117,-0.654,-1.109
1864-06,-0.049,-1.302,-1.911,NA,-0.659,-0.536,-1.223
1864-07,-1.217,-1.421,-1.923,NA,-0.676,-0.719,-1.348
1864-08,-1.64,-1.735,-2.415,NA,-1.168,-0.791,-1.416
1864-09,0.37,-1.357,-1.918,NA,-1.526,-0.601,-1.163
