file-timestamp,2023-06-15T03:19:10,,,,,,
station-id,47,,,,,,
station-name,Tamar Group,,,,,,
data-type-id,spi,,,,,,
data-type-name,Standardised Precipitation Index,,,,,,
reference-period,1961-2010,,,,,,
distribution,Gamma,,,,,,
date,spi-1,spi-3,spi-6,spi-9,spi-12,spi-18,spi-24
1862-01,-0.007,NA,NA,NA,NA,NA,NA
1862-02,-1.237,NA,NA,NA,NA,NA,NA
1862-03,0.98,-0.296,NA,NA,NA,NA,NA
1862-04,-0.263,-0.518,NA,NA,NA,NA,NA
1862-05,0.208,0.484,NA,NA,NA,NA,NA
1862-06,0.677,0.208,-0.213,NA,NA,NA,NA
1862-07,0.281,0.463,-0.064,NA,NA,NA,NA
1862-08,-0.634,0.015,0.244,NA,NA,NA,NA
1862-09,-0.394,-0.675,-0.429,NA,NA,NA,NA
1862-10,1.025,0.119,0.334,NA,NA,NA,NA
1862-11,-2.476,-0.599,-0.589,NA,NA,NA,NA
1862-12,-0.377,-0.65,-0.991,NA,-0.905,NA,NA
1863-01,0.514,-1.088,-0.74,NA,-0.692,NA,NA
1863-02,-0.694,-0.359,-0.723,NA,-0.543,NA,NA
1863-03,-0.262,-0.327,-0.813,NA,-0.963,NA,NA
1863-04,-0.271,-1.161,-1.599,NA,-0.904,NA,NA
1863-05,0.185,-0.489,-0.659,NA,-0.949,NA,NA
1863-06,1.588,0.958,0.299,NA,-0.601,-0.708,NA
1863-07,-0.904,0.598,-0.352,NA,-0.843,-0.776,NA
1863-08,0.888,1.008,0.503,NA,-0.401,-0.256,NA
1863-09,1.292,0.902,1.25,NA,0.172,-0.102,NA
1863-10,0.846,1.552,1.674,NA,0.094,0.21,NA
1863-11,-0.364,0.929,1.41,NA,0.515,0.083,NA
1863-12,0.037,0.227,0.69,NA,0.668,-0.057,-0.205
1864-01,-0.506,-0.695,0.633,NA,0.286,-0.265,-0.282
1864-02,-0.327,-0.587,0.156,NA,0.375,-0.234,-0.123
1864-03,-1.189,-1.326,-0.766,NA,0.199,-0.354,-0.48
1864-04,-1.412,-2.017,-1.701,NA,0.034,-0.872,-0.592
1864-05,-1.094,-2.776,-1.875,NA,-0.226,-0.6,-0.795
1864-06,0.21,-1.479,-2.25,NA,-0.739,-0.53,-0.958
1864-07,-0.613,-0.97,-2.287,NA,-0.645,-0.752,-1.113
1864-08,-1.177,-1.064,-2.527,NA,-1.264,-0.826,-1.217
1864-09,0.641,-0.681,-1.538,NA,-1.633,-0.559,-0.974
1864-10,-1.166,-1.023,-1.649,NA,-2.385,-0.749,-1.467
1864-11,0.339,-0.217,-0.975,NA,-2.083,-0.768,-1.062
1864-12,-0.272,-0.778,-1.096,NA,-2.211,-1.265,-1.113
1865-01,0.421,0.119,-0.607,NA,-1.811,-0.928,-0.981
1865-02,0.376,0.132,-0.102,NA,-1.471,-1.033,-0.684
1865-03,0.036,0.349,-0.397,NA,-1.271,-1.463,-0.663
1865-04,-1.283,-0.473,-0.216,NA,-1.18,-1.945,-0.765
1865-05,0.744,-0.297,-0.095,NA,-0.773,-1.679,-0.683
1865-06,-1.554,-1.072,-0.386,NA,-1.138,-2.268,-1.327
1865-07,0.656,0.085,-0.353,NA,-0.738,-1.679,-1.038
1865-08,1.37,0.63,0.276,NA,0.004,-1.184,-0.914
1865-09,-3.293,0.217,-0.543,NA,-0.721,-1.325,-1.617
1865-10,1.402,0.909,0.763,NA,0.315,-0.52,-1.303
1865-11,0.423,0.35,0.651,NA,0.333,-0.276,-1.206
1865-12,-0.2,0.934,0.819,NA,0.374,-0.363,-1.371
1866-01,0.56,0.305,0.786,NA,0.419,-0.082,-0.883
1866-02,0.497,0.316,0.396,NA,0.455,0.228,-0.627
1866-03,0.343,0.667,1.085,NA,0.541,0.152,-0.43
1866-04,-0.297,0.238,0.329,NA,0.681,0.389,-0.306
1866-05,0.003,-0.19,0.134,NA,0.507,0.287,-0.179
1866-06,0.045,-0.402,0.298,NA,0.776,0.441,-0.227
