file-timestamp,2023-06-15T03:19:05,,,,,,
station-id,50,,,,,,
station-name,Taw and Torridge,,,,,,
data-type-id,spi,,,,,,
data-type-name,Standardised Precipitation Index,,,,,,
reference-period,1961-2010,,,,,,
distribution,Gamma,,,,,,
date,spi-1,spi-3,spi-6,spi-9,spi-12,spi-18,spi-24
1862-01,-0.159,NA,NA,NA,NA,NA,NA
1862-02,-1.58,NA,NA,NA,NA,NA,NA
1862-03,0.69,-0.687,NA,NA,NA,NA,NA
1862-04,0.1,-0.644,NA,NA,NA,NA,NA
1862-05,0.191,0.423,NA,NA,NA,NA,NA
1862-06,0.805,0.528,-0.282,NA,NA,NA,NA
1862-07,0.518,0.702,0.074,NA,NA,NA,NA
1862-08,-0.475,0.331,0.455,NA,NA,NA,NA
1862-09,-0.724,-0.604,-0.152,NA,NA,NA,NA
1862-10,1.034,0.09,0.475,NA,NA,NA,NA
1862-11,-2.682,-0.719,-0.439,NA,NA,NA,NA
1862-12,-0.348,-0.629,-0.902,NA,-0.865,NA,NA
1863-01,0.664,-1.037,-0.64,NA,-0.523,NA,NA
1863-02,-0.735,-0.247,-0.708,NA,-0.372,NA,NA
1863-03,-0.403,-0.256,-0.705,NA,-0.674,NA,NA
1863-04,-0.225,-1.19,-1.566,NA,-0.69,NA,NA
1863-05,0.081,-0.544,-0.563,NA,-0.738,NA,NA
1863-06,1.807,1.236,0.571,NA,-0.345,-0.479,NA
1863-07,-1.215,0.733,-0.227,NA,-0.69,-0.572,NA
1863-08,0.813,1.076,0.535,NA,-0.349,-0.091,NA
1863-09,1.365,0.829,1.404,NA,0.303,0.139,NA
1863-10,1.243,1.776,1.969,NA,0.412,0.503,NA
1863-11,0.034,1.404,1.867,NA,0.924,0.507,NA
1863-12,-0.284,0.596,0.903,NA,0.974,0.251,0.072
1864-01,-0.568,-0.713,0.831,NA,0.525,-0.018,-0.01
1864-02,-0.542,-0.91,0.371,NA,0.565,-0.051,0.107
1864-03,-0.382,-1.145,-0.284,NA,0.582,0.018,-0.054
1864-04,-0.706,-1.31,-1.361,NA,0.491,-0.383,-0.135
1864-05,-1.199,-1.543,-1.643,NA,0.292,-0.12,-0.298
1864-06,0.045,-1.283,-1.892,NA,-0.322,-0.028,-0.489
1864-07,-0.836,-1.191,-1.937,NA,-0.25,-0.346,-0.718
1864-08,-1.269,-1.261,-2.04,NA,-0.818,-0.422,-0.855
1864-09,0.536,-0.917,-1.635,NA,-1.207,-0.215,-0.59
1864-10,-0.893,-0.965,-1.725,NA,-2.122,-0.37,-1.05
1864-11,0.182,-0.267,-1.145,NA,-2.006,-0.383,-0.66
1864-12,-0.071,-0.638,-1.091,NA,-1.941,-0.905,-0.605
1865-01,0.578,0.255,-0.46,NA,-1.414,-0.531,-0.555
1865-02,0.444,0.357,0.027,NA,-1.094,-0.616,-0.316
1865-03,-0.157,0.436,-0.236,NA,-1.102,-0.999,-0.296
1865-04,-0.917,-0.4,-0.066,NA,-1.062,-1.58,-0.355
1865-05,1.388,0.26,0.371,NA,-0.488,-1.273,-0.146
1865-06,-0.81,-0.129,0.227,NA,-0.694,-1.521,-0.721
1865-07,1.107,0.922,0.419,NA,-0.186,-0.98,-0.365
1865-08,1.977,1.44,1.291,NA,0.776,-0.256,-0.039
1865-09,-3.635,0.97,0.644,NA,0.157,-0.596,-0.691
1865-10,1.874,1.631,1.954,NA,1.284,0.235,-0.413
1865-11,1.074,1.098,1.867,NA,1.52,0.694,-0.193
1865-12,-0.193,1.707,1.85,NA,1.528,0.625,-0.155
1866-01,0.778,0.866,1.612,NA,1.512,0.892,0.172
1866-02,0.862,0.65,1.124,NA,1.64,1.251,0.427
1866-03,0.589,1.182,1.938,NA,1.857,1.247,0.563
1866-04,-0.535,0.611,0.99,NA,1.824,1.415,0.581
1866-05,-0.626,-0.425,0.313,NA,1.457,1.272,0.643
1866-06,0.174,-0.789,0.562,NA,1.684,1.506,0.714
1866-07,-0.301,-0.562,-0.033,NA,1.295,1.23,0.763
1866-08,0.646,0.17,-0.192,NA,0.875,1.34,1.094
1866-09,2.225,1.74,0.973,NA,2.142,1.951,1.508
1866-10,-1.121,1.029,0.512,NA,0.995,1.671,1.419
1866-11,-0.584,0.45,0.416,NA,0.458,1.417,1.304
1866-12,0.199,-1.012,0.423,NA,0.609,1.548,1.472
1867-01,1.002,0.354,0.873,NA,0.657,1.499,1.415
1867-02,0.492,0.778,0.79,NA,0.529,1.096,1.349
1867-03,1.003,1.309,0.175,NA,0.652,1.589,1.533
1867-04,0.943,1.295,0.995,NA,0.929,1.206,1.731
1867-05,0.77,1.457,1.355,NA,1.217,1.054,1.673
1867-06,-0.711,0.47,1.376,NA,1.082,1.141,1.83
1867-07,1.079,0.564,1.289,NA,1.348,1.089,1.81
1867-08,-0.647,-0.194,0.763,NA,1.11,0.802,1.325
1867-09,-0.485,-0.153,0.133,NA,0.176,0.571,1.519
1867-10,1.203,0.265,0.522,NA,1.005,0.956,1.238
1867-11,-2.404,-0.387,-0.559,NA,0.642,0.718,0.688
1867-12,-0.619,-0.548,-0.567,NA,0.42,0.527,0.671
1868-01,1.006,-0.807,-0.376,NA,0.386,0.804,0.661
1868-02,-0.409,-0.005,-0.32,NA,0.131,0.572,0.389
1868-03,0.392,0.548,-0.096,NA,-0.044,0.033,0.359
1868-04,0.327,-0.107,-0.753,NA,-0.179,0.356,0.465
1868-05,-0.335,0.066,-0.044,NA,-0.442,0.413,0.504
1868-06,-1.363,-0.983,-0.154,NA,-0.559,0.219,0.354
1868-07,-2.331,-2.257,-1.67,NA,-1.213,-0.375,0.15
1868-08,1.36,-0.511,-0.422,NA,-0.618,-0.137,0.338
1868-09,0.948,0.673,-0.099,NA,-0.186,-0.112,-0.042
1868-10,0.675,1.466,0.191,NA,-0.428,-0.077,0.352
1868-11,-1.122,0.304,-0.158,NA,-0.188,-0.496,0.257
1868-12,1.419,0.759,0.933,NA,0.594,0.111,0.66
1869-01,0.555,0.68,1.381,NA,0.37,0.011,0.47
1869-02,0.765,1.331,1.122,NA,0.713,0.299,0.507
1869-03,-1.245,0.27,0.657,NA,0.423,0.223,0.214
1869-04,-0.488,-0.425,0.28,NA,0.264,-0.202,0.026
1869-05,2.098,0.576,1.4,NA,0.904,0.625,0.291
1869-06,-1.615,0.446,0.444,NA,0.906,0.654,0.228
1869-07,-1.751,-0.049,-0.417,NA,0.914,0.096,-0.19
1869-08,-1.32,-2.745,-1.383,NA,0.264,-0.024,-0.282
1869-09,1.711,-0.111,0.147,NA,0.586,0.386,0.231
1869-10,0.304,0.609,0.417,NA,0.43,0.38,-0.036
1869-11,-0.25,0.889,-0.66,NA,0.62,0.393,0.242
1869-12,0.693,0.334,0.142,NA,0.331,0.765,0.598
1870-01,-0.405,-0.101,0.298,NA,-0.022,0.847,0.203
1870-02,-0.335,-0.114,0.465,NA,-0.369,0.444,0.206
1870-03,-0.65,-1.028,-0.436,NA,-0.295,0.139,0.065
1870-04,-2.239,-1.923,-1.124,NA,-0.472,-0.261,-0.155
1870-05,-0.403,-1.937,-1.062,NA,-1.236,-0.107,-0.171
1870-06,-1.216,-2.449,-2.445,NA,-1.227,-0.828,-0.184
1870-07,-1.321,-1.814,-2.854,NA,-1.116,-1.146,-0.129
1870-08,-0.549,-1.814,-2.721,NA,-1.03,-1.572,-0.553
1870-09,-0.61,-1.652,-2.961,NA,-1.997,-1.468,-0.854
1870-10,1.613,0.626,-0.523,NA,-1.17,-0.652,-0.486
1870-11,-0.382,0.637,-0.545,NA,-1.18,-1.37,-0.393
1870-12,-0.885,0.451,-0.546,NA,-1.793,-1.313,-1.023
1871-01,-0.015,-0.958,-0.198,NA,-1.581,-1.029,-1.048
1871-02,-0.075,-0.672,-0.073,NA,-1.495,-0.832,-1.174
1871-03,-0.831,-0.637,-0.122,NA,-1.611,-1.451,-1.159
1871-04,1.331,0.165,-0.698,NA,-0.81,-1.258,-0.844
1871-05,-1.666,-0.425,-0.871,NA,-1.025,-1.41,-1.469
1871-06,0.257,0.178,-0.492,NA,-0.744,-1.797,-1.364
1871-07,1.876,0.684,0.582,NA,0.109,-1.027,-0.742
1871-08,-0.701,0.795,0.346,NA,0.077,-1.138,-0.69
1871-09,1.429,1.624,1.385,NA,0.724,-0.574,-0.754
1871-10,0.881,0.979,1.218,NA,0.345,-0.012,-0.545
1871-11,-1.881,0.521,0.916,NA,0.008,-0.324,-0.84
1871-12,-0.512,-0.64,0.571,NA,0.125,-0.257,-1.183
1872-01,1.215,-0.385,0.395,NA,0.579,0.283,-0.614
1872-02,1.069,0.913,0.936,NA,0.946,0.636,-0.278
1872-03,0.615,1.654,0.666,NA,1.265,0.847,-0.112
1872-04,0.445,1.264,0.433,NA,1.003,0.438,0.143
1872-05,-0.117,0.404,0.938,NA,1.229,0.486,0.177
1872-06,1.588,1.252,2.162,NA,1.677,1.187,0.679
1872-07,1.916,1.973,2.388,NA,1.616,1.571,1.199
1872-08,0.023,1.861,1.745,NA,1.853,1.684,1.335
1872-09,1.029,1.67,2.074,NA,1.777,1.996,1.601
1872-10,1.351,1.34,2.416,NA,1.937,1.977,1.456
1872-11,1.251,1.88,2.826,NA,2.597,2.618,1.815
1872-12,1.12,2.083,2.552,NA,3.134,2.8,2.393
1873-01,0.873,1.8,2.003,NA,2.854,2.471,2.315
1873-02,0.06,1.01,1.906,NA,2.569,2.54,2.211
1873-03,0.956,0.948,2.085,NA,2.748,2.399,2.461
1873-04,-1.327,-0.118,1.405,NA,2.38,2.11,2.147
1873-05,-0.105,-0.18,0.76,NA,2.438,2.333,2.325
1873-06,-0.219,-1.167,0.144,NA,2.037,2.737,2.465
1873-07,1.098,0.338,0.107,NA,1.704,2.456,2.289
1873-08,1.94,1.587,1.191,NA,2.394,2.815,2.896
1873-09,0.171,1.874,0.919,NA,2.238,2.679,2.572
1873-10,0.012,1.086,1.093,NA,1.665,2.383,2.271
1873-11,-0.764,-0.458,0.786,NA,1.032,2.454,2.449
1873-12,-2.185,-1.695,0.126,NA,0.142,1.679,2.404
1874-01,0.14,-1.648,-0.21,NA,-0.164,1.19,1.883
1874-02,0.182,-0.911,-1.011,NA,-0.125,1.197,1.606
1874-03,-0.855,-0.352,-1.504,NA,-0.578,0.864,1.454
1874-04,-0.177,-0.672,-1.742,NA,-0.351,0.461,1.369
1874-05,-1.648,-1.717,-1.725,NA,-0.603,-0.067,1.272
1874-06,-0.275,-1.399,-1.236,NA,-0.639,-0.511,1.01
1874-07,-0.036,-1.093,-1.393,NA,-0.936,-0.756,0.602
1874-08,1.284,0.533,-0.558,NA,-1.323,-0.431,0.905
1874-09,1.82,1.897,0.837,NA,-0.668,-0.086,1.098
1874-10,0.481,1.8,1.023,NA,-0.435,0.22,0.806
1874-11,-0.44,0.99,1.136,NA,-0.34,0.14,0.438
1874-12,1.218,0.739,1.695,NA,0.674,0.557,0.524
1875-01,0.987,1.093,1.87,NA,0.938,0.564,0.501
1875-02,-1.006,0.791,1.15,NA,0.671,-0.139,0.325
1875-03,-1.331,-0.408,0.238,NA,0.619,-0.352,0.026
1875-04,-0.324,-1.997,-0.051,NA,0.578,-0.384,0.127
1875-05,0.601,-0.707,0.324,NA,0.948,-0.123,0.226
1875-06,1.149,0.855,0.173,NA,1.355,0.592,0.504
